Season,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
15-16,Philadelphia Flyers*,28.1,82,41,27,14,96,0.585,211,210,3,8,-0.03,0.02,5.13,155,151,53,280,18.93,51,262,80.53,3,8,11.8,11.9,2540,8.3,2519,0.917,7
15-16,Pittsburgh Penguins*,29,82,48,26,8,104,0.634,241,199,4,4,0.5,-0.01,5.37,182,154,48,261,18.39,40,257,84.44,11,5,8.5,8.9,2722,8.9,2436,0.918,6
15-16,San Jose Sharks*,29.1,82,46,30,6,98,0.598,237,207,4,3,0.33,-0.05,5.41,169,154,62,275,22.55,46,236,80.51,6,7,8.9,11,2491,9.5,2245,0.908,9
15-16,St. Louis Blues*,28,82,49,24,9,107,0.652,219,197,5,4,0.28,0,5.07,164,151,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,0.919,10
15-16,Tampa Bay Lightning*,27.3,82,46,31,5,97,0.591,224,198,3,3,0.3,-0.02,5.15,173,150,44,279,15.77,41,257,84.05,7,7,9.9,10.6,2402,9.3,2366,0.916,7
15-16,Toronto Maple Leafs,27.4,82,29,42,11,69,0.421,192,240,6,6,-0.56,0.03,5.27,149,182,40,259,15.44,50,272,81.62,3,8,9.2,9,2515,7.6,2503,0.904,4
15-16,Vancouver Canucks,28.9,82,31,38,13,75,0.457,186,239,5,4,-0.62,0.02,5.18,143,184,39,247,15.79,47,249,81.12,4,8,10,10,2311,8,2668,0.91,1
15-16,Washington Capitals*,27.9,82,56,18,8,120,0.732,248,191,4,2,0.7,-0.02,5.35,191,148,55,251,21.91,38,256,85.16,2,5,9.2,8.9,2510,9.9,2332,0.918,3
15-16,Winnipeg Jets,26.8,82,35,39,8,78,0.476,212,236,3,3,-0.26,0.03,5.46,164,171,38,257,14.79,61,282,78.37,10,4,11.2,10.4,2427,8.7,2423,0.903,3
14-15,Anaheim Ducks*,27,82,51,24,7,109,0.665,228,221,8,5,0.1,-0.03,5.48,182,163,37,236,15.68,52,274,81.02,9,6,10.8,9.8,2458,9.3,2367,0.907,4
14-15,Arizona Coyotes,28.5,82,24,50,8,56,0.341,165,267,5,5,-1.2,0.04,5.27,115,195,46,230,20,65,279,76.7,4,7,9.5,8.4,2393,6.9,2722,0.902,1
14-15,Boston Bruins,28.3,82,41,27,14,96,0.585,209,201,4,10,0.01,-0.01,5,163,154,38,213,17.84,44,244,81.97,8,3,9.5,8.5,2546,8.2,2449,0.918,5
14-15,Buffalo Sabres,26.9,82,23,51,8,54,0.329,153,269,8,5,-1.33,0.05,5.15,116,197,30,224,13.39,64,257,75.1,7,8,10.4,9.6,1984,7.7,2920,0.908,1
14-15,Calgary Flames*,28.2,82,45,30,7,97,0.591,237,213,4,3,0.26,-0.05,5.49,183,174,48,255,18.82,36,186,80.65,6,3,7.6,9,2252,10.5,2391,0.911,5
14-15,Carolina Hurricanes,27.9,82,30,41,11,71,0.433,183,219,5,7,-0.44,0.02,4.9,136,186,45,240,18.75,29,190,84.74,2,4,6.7,8.2,2524,7.3,2236,0.902,2
14-15,Chicago Blackhawks*,29.3,82,48,28,6,102,0.622,220,186,9,3,0.51,0.02,4.95,171,144,46,260,17.69,35,211,83.41,3,7,7.3,8.8,2777,7.9,2477,0.925,5
14-15,Colorado Avalanche,28.6,82,39,31,12,90,0.549,209,223,10,4,-0.04,0.06,5.27,168,184,37,247,14.98,37,241,84.65,4,2,9.4,9.6,2286,9.1,2719,0.918,6
14-15,Columbus Blue Jackets,27,82,42,35,5,89,0.543,227,248,9,2,-0.16,0.01,5.79,169,183,53,244,21.72,60,303,80.2,5,5,11.9,11,2366,9.6,2742,0.91,2
14-15,Dallas Stars,28.5,82,41,31,10,92,0.561,257,257,4,3,0.06,0.05,6.27,193,201,55,290,18.97,49,254,80.71,9,7,9.6,11,2558,10,2454,0.895,6
